cocktail_id,ingredient_id,measure
1,122,1 3/4 shot 
1,131,1 Shot 
1,163,1/4 Shot
1,137,1/8 Shot
2,12,1/3 
2,28,1/3 
2,81,1/3 
3,122,2 shots 
3,137,1/2 shot 
3,140,1/2 shot 
3,185,1/2 shot
3,106,1/2 Fresh
4,1,1 oz Bacardi 
4,286,1 oz 
5,99,2 oz 
5,163,1 oz 
5,137,1 tsp 
6,7,1 oz 
6,122,1 oz 
6,270,4 oz 
7,22,1 1/2 oz 
7,134,1 oz 
8,277,3 parts
8,220,1 part 
8,21,6 parts 
8,163,1 1/2 part 
8,166,to taste
9,195,4 cl 
9,134,3 cl 
9,21,1 cl 
9,179,1 
10,257,2 oz 
10,195,2 oz 
10,87,2 oz 
10,72,to taste
11,99,1 1/2 oz 
11,207,2 oz 
11,195,3 oz 
12,99,2 oz 
12,156,1 oz 
12,106,1 
13,122,1 1/2 shot 
13,276,1 1/2 shot 
14,22,1 oz 
14,271,1 oz 
14,163,1 oz 
15,168,1 1/2 oz 
15,271,1 1/2 tsp 
15,172,1 tblsp 
15,258,1 tsp 
15,106,1 
15,186,1 
16,244,1 1/2 oz 
16,262,1 oz 
16,103,1 oz 
16,193,2 dashes 
17,122,4.5 cl
17,163,1.5 cl
17,180,1.5 cl
18,277,2 cl 
18,91,1 cl 
18,195,to taste
19,151,1 oz 
19,184,1/2 oz 
19,250,2 oz 
20,137,1 part 
20,195,4 parts 
20,217,4 parts 
21,156,1 cl 
21,28,1 cl 
21,114,1 1/2 
21,78,4 cl hot 
21,89,to taste
22,122,1/2 oz 
22,92,1/2 oz white 
22,167,2 oz 
22,189,to taste
23,277,4 cl 
23,172,1 dash 
23,249,to taste
24,103,1 oz 
24,45,1 oz 
24,38,1 1/2 tsp 
24,163,1 1/2 tsp 
24,164,1 twist of 
25,51,1 oz 
25,262,1 oz red 
25,164,Twist of 
25,196,Twist of 
26,28,1/3 
26,131,1/3 
26,156,1/4 
27,156,1/3 shot 
27,241,1/3 shot 
27,131,1/3 shot 
28,193,1 dash
28,135,1 oz
28,122,1 oz
28,262,1 oz
29,122,1 1/2 oz 
29,271,1 oz 
29,163,1 tsp 
29,137,1/2 tsp 
29,106,1 
30,148,1/2 oz 
30,129,1/2 oz 
31,59,6 oz 
31,208,1 oz 
32,122,4 cl
32,163,1.5 cl
32,259,1 cl
32,94,1.5 cl
33,244,1 1/2 oz 
33,262,1/2 oz 
33,103,1/2 oz 
33,34,2 dashes 
34,122,1 1/2 oz 
34,271,1/2 oz 
34,44,1/2 oz 
34,34,2 dashes 
34,179,1 
34,164,1 twist of 
35,239,2 oz
35,103,1 oz
35,180,1/4 oz
35,14,3 dashes
35,179,1
36,217,10 cl 
36,202,6 cl 
36,163,1 cl 
36,137,1 cl 
37,122,2 oz 
37,103,1/2 oz 
37,34,2 dashes 
37,180,1/2 tsp 
37,179,1 
38,238,4.5 cl
38,121,1.5 cl
38,217,6 cl
38,172, 1 dash
38,225,top up 
39,143,4 oz
39,135,1 oz
39,63,1 oz
40,1,1 shot
40,244,1/2 shot
40,34,3 drops
40,289,1 Fresh
40,146,cubes
41,86,1 
41,27,1 shot 
42,110,1 fifth 
42,277,1 fifth Smirnoff red label 
42,188,2 L 
42,260,2 L 
42,163,1 small bottle 
42,238,1 pint 
43,262,1 oz 
43,248,1 1/2 oz 
43,164,1 twist of 
44,184,1/2 oz 
44,155,1/2 oz 
44,129,1/2 oz 
45,251,2 oz 
45,271,1/2 oz 
45,171,2 wedges 
45,250,2 oz 
46,277,1/4 
46,30,1/4 
46,195,1/4 
46,208,1/4 
47,28,1/3 oz 
47,156,1/3 oz 
47,241,1/3 oz 
48,156,2 oz 
48,185,8 oz 
48,274,2 scoops 
49,42,2 oz 
49,162,Juice of 1/2 
49,224,1 tsp 
49,106,1 
49,162,1 slice 
49,61,1 
50,238,3 parts
50,99,1 part
50,30,1 part
50,137,1 part
50,217,2 parts
50,195,2 parts
50,261,1 part
51,122,2 oz 
51,180,1/4 tsp 
51,163,1/4 tsp 
51,193,2 dashes 
51,61,1 
52,78,to taste
52,185,1/2 oz 
52,271,1/2 oz 
52,46,to taste
53,258,2 tsp
53,171,1 
53,50,2 1/2 oz 
54,253,1 oz 
54,124,to taste
55,99,1-2 shot 
55,171,Squeeze 
55,73,Fill with 
55,146,to taste
56,168,1 1/4 oz 
56,62,1 1/2 tsp 
56,167,1 tblsp 
57,168,2 oz 
57,171,Juice of 1/2 
57,73,to taste
58,171,1/2
58,111,1/3 oz
58,14,2 dashes
58,26,1 oz
58,40,1 oz
59,27,1 part 
59,73,2 parts 
60,168,2 oz 
60,271,1 1/2 tsp 
60,172,1 1/2 tsp 
60,180,1 1/2 tsp 
61,122,1 1/2 oz 
61,137,2 tsp 
61,162,Juice of 1/2 
61,106,1 
62,171,2 
62,258,2 tblsp 
62,284,2-3 oz 
62,146,crushed 
63,46,2 oz 
63,271,1/2 oz 
63,163,1 tblsp 
64,160,1 bottle 
64,51,1 1/2 cl 
65,168,1 oz 
65,223,1 oz 
65,162,Juice of 1/2 
65,224,1 tsp 
65,106,1 
65,54,to taste
66,277,1 1/4 oz 
66,172,1/4 oz 
66,82,1/4 oz 
66,87,1/4 cup 
67,278,2 cups 
67,258,2 cups white 
67,78,1/2 cup instant 
67,272,1/2
67,277,1 1/2 cup
67,52,to taste
68,122,2 oz 
68,163,1/2 oz 
68,180,1 tsp 
68,193,1 dash 
68,107,1 
69,122,3/4 oz
69,271,3/4 oz
69,170,3/4 oz
69,163,3/4 oz
69,3,1 dash
70,67,1/2 shot 
70,185,1/2 shot 
70,12,1 dash 
71,262,1 oz 
71,248,1/2 oz 
71,287,1/2 oz Muscatel 
72,78,10 tblsp instant 
72,273,4 tblsp 
72,258,2 1/2 cups 
72,277,1 qt 
72,278,2 1/2 cups 
73,73,1 dl 
73,163,7 drops 
74,66,125 gr
74,185,3/4 L 
74,278,to taste
75,87,4 cups 
75,258,1 1/2 cup 
75,217,4 cups 
75,11,1 tblsp 
75,124,2 qt 
76,122,6 cl
76,205,2 dashes
76,186,2 Fresh leaves
77,160,1/2 pint 
77,69,1/2 pint 
77,39,1 dash 
78,168,1 1/2 oz 
78,171,Juice of 1/2 
78,224,1 tsp 
79,78,3 parts 
79,110,1 part 
80,120,2 part 
80,254,1 part 
80,266,2 shots 
80,1,Float Bacardi 
81,122,1 1/2 oz 
81,124,4 oz 
81,171,1 
