glass_type_id,name
1,cocktail glass
2,shot glass
3,martini glass
4,highball glass
5,collins glass
6,old-fashioned glass
7,whiskey sour glass
8,champagne flute
9,margarita glass
10,coupe glass
11,beer pilsner
12,punch bowl
13,coffee mug
14,beer mug
15,pint glass
16,hurricane glass
17,pitcher
18,beer glass
19,irish coffee cup
20,mason jar
21,balloon glass
22,wine glass
23,cordial glass
24,brandy snifter
25,copper mug
26,jar
27,nick and nora glass
28,white wine glass
29,whiskey glass
30,pousse cafe glass
31,margarita/coupette glass
